Task,Timestamp, weight, cogX , cogY , bl, br, tl, tr, accX, accY, accZ, falls
2,9.098642,0,0,0,0,0,0,0,-0.03703704,-0.4814815,0.8148148,0
2,9.115746,0,0,0,0,0,0,0,-0.1111111,-0.5925926,0.8518519,0
2,9.131742,0,0,0,0,0,0,0,-0.1851852,-0.6296296,0.8888889,0
2,9.148748,0,0,0,0,0,0,0,-0.1851852,-0.6666667,0.8888889,0
2,9.164865,0,0,0,0,0,0,0,-0.1851852,-0.6296296,0.8888889,0
2,9.181903,0,0,0,0,0,0,0,-0.1481481,-0.5925926,0.8518519,0
2,9.198934,0,0,0,0,0,0,0,-0.1481481,-0.5925926,0.8518519,0
2,9.214564,0,0,0,0,0,0,0,-0.2222222,-0.6296296,0.9259259,0
2,9.231482,0,0,0,0,0,0,0,-0.2222222,-0.7037037,0.8148148,0
2,9.248027,0,0,0,0,0,0,0,-0.1481481,-0.6666667,0.7407407,0
3,9.690722,0,0,0,0,0,0,0,-0.1111111,-0.7037037,0.8148148,0
3,9.690722,0,0,0,0,0,0,0,-0.1111111,-0.7037037,0.8148148,0
3,9.710721,0,0,0,0,0,0,0,-0.07407407,-0.7037037,0.8148148,0
3,9.727286,0,0,0,0,0,0,0,0,-0.6666667,0.7407407,0
3,9.743854,0,0,0,0,0,0,0,0.03703704,-0.5925926,0.5925926,0
3,9.760421,0,0,0,0,0,0,0,0,-0.6296296,0.5925926,0
3,9.776987,0,0,0,0,0,0,0,0,-0.6296296,0.6296296,0
3,9.793931,0,0,0,0,0,0,0,-0.03703704,-0.6296296,0.7037037,0
3,9.81012,0,0,0,0,0,0,0,-0.03703704,-0.6296296,0.7777778,0
3,9.827006,0,0,0,0,0,0,0,0,-0.6666667,0.8148148,0
3,9.843255,0,0,0,0,0,0,0,0.03703704,-0.6296296,0.8518519,0
3,9.859819,0,0,0,0,0,0,0,0.07407407,-0.6296296,0.8518519,0
3,9.877059,0,0,0,0,0,0,0,0.1111111,-0.5925926,0.8148148,0
3,9.892955,0,0,0,0,0,0,0,0.1111111,-0.5925926,0.7777778,0
3,9.909656,0,0,0,0,0,0,0,0.07407407,-0.5555556,0.7407407,0
3,9.926086,0,0,0,0,0,0,0,0,-0.4814815,0.7777778,0
3,9.942655,0,0,0,0,0,0,0,-0.1111111,-0.4814815,0.8888889,0
3,9.959859,0,0,0,0,0,0,0,-0.3333333,-0.5555556,1.074074,0
3,9.975894,0,0,0,0,0,0,0,-0.4814815,-0.6296296,1.148148,0
3,9.992431,0,0,0,0,0,0,0,-0.9259259,-0.8888889,1.259259,0
3,10.00906,0,0,0,0,0,0,0,-1.666667,-1.37037,1.444444,0
3,10.02549,0,0,0,0,0,0,0,-2,-1.518519,1.444444,0
3,10.04206,0,0,0,0,0,0,0,-2.333333,-1.37037,1.259259,0
3,10.05862,0,0,0,0,0,0,0,-2.296296,-1.074074,1.333333,0
3,10.07519,0,0,0,0,0,0,0,-1.814815,-0.2962963,1.37037,0
3,10.09175,0,0,0,0,0,0,0,-1.148148,0.2222222,1,0
3,10.10832,0,0,0,0,0,0,0,-0.7777778,0.3333333,0.7407407,0
3,10.12531,0,0,0,0,0,0,0,-0.1481481,0.5185185,0.4814815,0
