#Starting log sesion
#3/1/2018 1:02:03 PM
cogX , cogY , weight, bl, br, tl, tr, falls
-3.108613,-0.6983418,80.1684,89.38584,61.62014,94.68549,74.98214,0
-3.108613,-0.6983418,80.1684,89.38584,61.62014,94.68549,74.98214,0
-1.660926,-0.58174,80.49917,84.80594,68.38747,88.92603,79.87724,0
-1.660926,-0.58174,80.49917,84.80594,68.38747,88.92603,79.87724,0
0.4705173,-0.6632742,79.48938,74.05479,76.13675,81.36195,86.40401,0
0.4705173,-0.6632742,79.48938,74.05479,76.13675,81.36195,86.40401,0
1.857711,-0.7608225,78.94704,66.90323,80.98006,77.02315,90.8817,0
2.392066,-0.8571841,79.34323,64.2788,83.07236,76.33202,93.68974,0
2.700805,-0.9592158,78.30966,61.02765,83.07236,75.4489,93.68974,0
3.680934,-1.04121,79.74608,57.7765,87.87692,73.75946,99.57143,0
5.152795,-1.053525,79.81961,51.47005,94.15385,68.99831,104.6563,0
5.913779,-1.040671,79.70625,48.14055,97.4473,66.38004,106.8571,0
6.628548,-0.9917805,79.86451,45.47696,101.0507,63.83437,109.096,0
8.389114,-0.8426528,80.30086,38.93548,110.3886,57.50879,114.3705,0
9.328622,-0.7621843,80.36838,35.56682,114.9607,53.76744,117.1786,0
10.29816,-0.6827685,80.48306,32.11982,119.6878,49.91038,120.2143,0
11.12159,-0.5957463,80.50563,29.37788,123.6399,46.36188,122.6429,0
11.8693,-0.467849,80.62876,27.2235,127.747,42.89053,124.654,0
13.14313,-0.1063738,80.04082,24.67742,133.9852,35.21497,126.2857,0
13.68495,0.07897229,79.63454,23.61982,136.6974,31.85933,126.3616,0
14.17139,0.2137013,79.41834,22.87558,138.7897,28.77368,127.2344,0
14.55905,0.3097647,79.72128,22.36636,141.192,26.53658,128.7902,0
14.91739,0.3447349,79.86756,21.50461,142.8194,24.76234,130.3839,0
15.0502,0.2233311,80.27836,21.1129,142.4319,24.37663,133.192,0
15.0502,0.2233311,80.27836,21.1129,142.4319,24.37663,133.192,0
15.02803,0.1824073,79.36362,20.87788,140.2621,24.26092,132.0536,0
15.05193,0.1346838,77.75594,20.13364,137.1236,23.91378,129.8527,0
15.03722,0.1319016,76.46903,19.82028,134.7989,23.60522,127.6518,0
14.96972,0.2470049,75.14291,19.82028,133.559,23.33522,123.8571,0
14.68308,0.4970549,75.90416,22.48387,135.6125,23.18094,122.3393,0
13.32702,0.3463698,79.76688,25.85254,138.286,32.43789,122.4911,0
13.32702,0.3463698,79.76688,25.85254,138.286,32.43789,122.4911,0
12.19618,0.4825937,80.09376,30.47466,136.155,36.68066,117.0647,0
11.34056,0.7002009,80.6681,35.29263,135.4576,38.91776,113.0045,0
9.160913,1.236402,81.99146,47.47466,133.404,44.97334,102.1138,0
9.160913,1.236402,81.99146,47.47466,133.404,44.97334,102.1138,0
6.927188,1.610251,81.91026,58.55991,127.2433,51.22178,90.61607,0
5.94406,1.726609,81.42262,62.86866,123.4074,53.88315,85.53125,0
4.308615,1.886549,80.34256,69.55251,116.3943,58.16449,77.25893,0
3.851883,1.974099,80.12353,71.60959,114.9994,59.24447,74.64063,0
3.546695,2.038095,80.07402,73.12329,114.2245,59.97731,72.97099,0
3.363336,2.068545,79.70281,73.66666,113.2171,60.20874,71.71875,0
3.243889,2.179168,79.55697,74.3653,113.6433,60.17017,70.04911,0
3.307537,2.20938,79.56762,74.13242,114.302,59.93874,69.89732,0
3.44215,2.256975,79.52991,73.62785,115.3481,59.36018,69.78349,0
3.575213,2.31248,79.5787,73.43379,116.3943,58.62734,69.85938,0
3.700325,2.378074,79.47414,73.12329,117.3242,57.81736,69.6317,0
3.979275,2.461471,79.36874,72.07534,119.2228,56.5831,69.59375,0
3.997671,2.477809,79.3595,72.11416,119.3778,56.39024,69.5558,0
3.992947,2.486392,79.40874,72.07534,119.649,56.54453,69.36607,0
4.001048,2.493973,79.35113,72.03653,119.649,56.42881,69.29018,0
4.058997,2.419749,79.45282,71.41553,119.5328,56.77595,70.08705,0
